order_id,date,product_id,product_name,quantity_ordered,unit_cost,total_cost,supplier_email,status,ai_predicted_demand,actual_demand_30days
ORD-000800,2025-06-02,P004,Monitor 24inch,24,15000,360000,jagannath.backup.2005@gmail.com,Delivered,20,18
ORD-000801,2025-06-02,P010,External HDD,37,5500,203500,jagannath.backup.2005@gmail.com,Delivered,29,27
ORD-000802,2025-06-03,P010,External HDD,11,5500,60500,jagannath.backup.2005@gmail.com,Delivered,13,13
ORD-000803,2025-06-03,P004,Monitor 24inch,38,15000,570000,jagannath.backup.2005@gmail.com,Delivered,30,31
ORD-000804,2025-06-03,P012,Power Bank,37,1600,59200,jagannath.backup.2005@gmail.com,Delivered,37,29
ORD-000805,2025-06-04,P002,Mouse Wireless,31,1000,31000,jagannath.backup.2005@gmail.com,In Transit,25,32
ORD-000806,2025-06-04,P014,Desk Lamp,32,1200,38400,jagannath.backup.2005@gmail.com,Delivered,37,23
ORD-000807,2025-06-08,P005,Printer HP,50,10000,500000,jagannath.backup.2005@gmail.com,Delivered,58,41
ORD-000808,2025-06-08,P012,Power Bank,14,1600,22400,jagannath.backup.2005@gmail.com,Delivered,16,12
ORD-000809,2025-06-08,P013,Phone Case,57,650,37050,jagannath.backup.2005@gmail.com,Delivered,52,45
ORD-000810,2025-06-09,P011,USB Cable,66,650,42900,jagannath.backup.2005@gmail.com,Delivered,63,68
ORD-000811,2025-06-09,P004,Monitor 24inch,27,15000,405000,jagannath.backup.2005@gmail.com,Delivered,30,23
ORD-000812,2025-06-11,P007,Headphones Bluetooth,27,3800,102600,jagannath.backup.2005@gmail.com,Delivered,31,28
ORD-000813,2025-06-11,P014,Desk Lamp,13,1200,15600,jagannath.backup.2005@gmail.com,Delivered,10,14
ORD-000814,2025-06-13,P012,Power Bank,30,1600,48000,jagannath.backup.2005@gmail.com,Delivered,34,36
ORD-000815,2025-06-13,P007,Headphones Bluetooth,39,3800,148200,jagannath.backup.2005@gmail.com,Delivered,39,31
ORD-000816,2025-06-13,P004,Monitor 24inch,45,15000,675000,jagannath.backup.2005@gmail.com,Delivered,54,44
ORD-000817,2025-06-15,P003,Keyboard Mechanical,42,2800,117600,jagannath.backup.2005@gmail.com,In Transit,35,53
ORD-000818,2025-06-16,P003,Keyboard Mechanical,50,2800,140000,jagannath.backup.2005@gmail.com,Delivered,53,54
ORD-000819,2025-06-17,P010,External HDD,39,5500,214500,jagannath.backup.2005@gmail.com,Delivered,31,48
ORD-000820,2025-06-17,P012,Power Bank,17,1600,27200,jagannath.backup.2005@gmail.com,Delivered,18,12
ORD-000821,2025-06-18,P008,Tablet Samsung,5,20000,100000,jagannath.backup.2005@gmail.com,Delivered,6,4
ORD-000822,2025-06-20,P005,Printer HP,50,10000,500000,jagannath.backup.2005@gmail.com,Delivered,44,46
ORD-000823,2025-06-20,P013,Phone Case,40,650,26000,jagannath.backup.2005@gmail.com,Delivered,42,43
ORD-000824,2025-06-20,P001,Laptop Dell XPS,8,62500,500000,jagannath.backup.2005@gmail.com,Delivered,8,6
ORD-000825,2025-06-21,P002,Mouse Wireless,30,1000,30000,jagannath.backup.2005@gmail.com,In Transit,25,38
ORD-000826,2025-06-21,P013,Phone Case,36,650,23400,jagannath.backup.2005@gmail.com,Delivered,43,42
ORD-000827,2025-06-21,P003,Keyboard Mechanical,26,2800,72800,jagannath.backup.2005@gmail.com,In Transit,23,24
ORD-000828,2025-06-23,P011,USB Cable,67,650,43550,jagannath.backup.2005@gmail.com,In Transit,69,74
ORD-000829,2025-06-23,P002,Mouse Wireless,51,1000,51000,jagannath.backup.2005@gmail.com,Delivered,42,56
ORD-000830,2025-06-23,P001,Laptop Dell XPS,23,62500,1437500,jagannath.backup.2005@gmail.com,Delivered,27,19
ORD-000831,2025-06-24,P011,USB Cable,27,650,17550,jagannath.backup.2005@gmail.com,Delivered,22,19
ORD-000832,2025-06-24,P014,Desk Lamp,31,1200,37200,jagannath.backup.2005@gmail.com,Delivered,32,28
ORD-000833,2025-06-24,P005,Printer HP,41,10000,410000,jagannath.backup.2005@gmail.com,Delivered,49,32
ORD-000834,2025-06-28,P013,Phone Case,72,650,46800,jagannath.backup.2005@gmail.com,Delivered,60,56
ORD-000835,2025-06-28,P011,USB Cable,75,650,48750,jagannath.backup.2005@gmail.com,Delivered,73,78
ORD-000836,2025-07-03,P012,Power Bank,31,1600,49600,jagannath.backup.2005@gmail.com,Delivered,27,27
ORD-000837,2025-07-03,P004,Monitor 24inch,44,15000,660000,jagannath.backup.2005@gmail.com,In Transit,39,43
ORD-000838,2025-07-04,P004,Monitor 24inch,14,15000,210000,jagannath.backup.2005@gmail.com,In Transit,15,10
ORD-000839,2025-07-04,P001,Laptop Dell XPS,25,62500,1562500,jagannath.backup.2005@gmail.com,Delivered,21,24
ORD-000840,2025-07-05,P008,Tablet Samsung,11,20000,220000,jagannath.backup.2005@gmail.com,In Transit,8,9
ORD-000841,2025-07-05,P007,Headphones Bluetooth,10,3800,38000,jagannath.backup.2005@gmail.com,In Transit,10,13
ORD-000842,2025-07-07,P012,Power Bank,45,1600,72000,jagannath.backup.2005@gmail.com,In Transit,40,37
ORD-000843,2025-07-07,P005,Printer HP,23,10000,230000,jagannath.backup.2005@gmail.com,Delivered,27,27
ORD-000844,2025-07-07,P009,Speaker Bluetooth,13,1800,23400,jagannath.backup.2005@gmail.com,Delivered,10,9
