date,product_id,product_name,quantity_sold,unit_price,customer_id,price,sales_channel
2025-05-01,G007,Bread White 400g,1,32.84,C0001,,
2025-05-01,G008,Eggs 12 pieces,1,87.77,C0002,,
2025-05-01,G012,Soap Lifebouy,1,44.15,C0003,,
2025-05-01,G009,Tea Powder 250g,1,213.42,C0004,,
2025-05-01,G001,Rice Basmati 1kg,2,99.86,C0005,,
2025-05-01,G002,Wheat Flour 1kg,1,39.55,C0006,,
2025-05-01,G001,Rice Basmati 1kg,2,94.42,C0007,,
2025-05-01,G015,Onions 1kg,1,32.59,C0008,,
2025-05-01,G019,Coffee Instant 100g,1,184.36,C0009,,
2025-05-01,G012,Soap Lifebouy,1,45.27,C0010,,
2025-05-01,G001,Rice Basmati 1kg,2,98.1,C0011,,
2025-05-01,G018,Honey 500g,1,335.26,C0012,,
2025-05-01,G015,Onions 1kg,1,34.01,C0013,,
2025-05-01,G001,Rice Basmati 1kg,2,100.42,C0014,,
2025-05-01,G001,Rice Basmati 1kg,3,96.58,C0015,,
2025-05-01,G002,Wheat Flour 1kg,1,38.63,C0016,,
2025-05-01,G006,Milk Packet 500ml,1,25.07,C0017,,
2025-05-01,G005,Oil Sunflower 1L,1,155.93,C0018,,
2025-05-01,G007,Bread White 400g,1,34.75,C0019,,
2025-05-01,G006,Milk Packet 500ml,2,26.71,C0020,,
2025-05-01,G009,Tea Powder 250g,1,213.25,C0021,,
2025-05-01,G003,Sugar 1kg,1,50.27,C0022,,
2025-05-01,G016,Ghee 500ml,1,477.74,C0023,,
2025-05-01,G016,Ghee 500ml,2,492.05,C0024,,
2025-05-01,G004,Dal Toor 500g,1,137.63,C0025,,
2025-05-01,G014,Turmeric Powder 100g,1,55.24,C0026,,
2025-05-01,G001,Rice Basmati 1kg,1,94.43,C0027,,
2025-05-01,G004,Dal Toor 500g,1,139.97,C0028,,
2025-05-01,G019,Coffee Instant 100g,1,192.56,C0029,,
2025-05-01,G001,Rice Basmati 1kg,2,93.98,C0030,,
2025-05-01,G019,Coffee Instant 100g,1,197.16,C0031,,
2025-05-01,G002,Wheat Flour 1kg,1,39.02,C0032,,
2025-05-01,G003,Sugar 1kg,1,49.5,C0033,,
2025-05-01,G008,Eggs 12 pieces,1,89.45,C0034,,
2025-05-01,G018,Honey 500g,1,337.85,C0035,,
2025-05-01,G015,Onions 1kg,1,34.08,C0036,,
2025-05-01,G006,Milk Packet 500ml,2,26.9,C0037,,
2025-05-01,G002,Wheat Flour 1kg,1,38.18,C0038,,
2025-05-01,G011,Biscuits Parle-G,1,15.58,C0039,,
2025-05-01,G007,Bread White 400g,1,33.52,C0040,,
2025-05-01,G002,Wheat Flour 1kg,2,39.62,C0041,,
2025-05-01,G004,Dal Toor 500g,1,144.62,C0042,,
2025-05-01,G003,Sugar 1kg,2,49.19,C0043,,
2025-05-01,G008,Eggs 12 pieces,1,84.08,C0044,,
2025-05-01,G006,Milk Packet 500ml,1,25.22,C0045,,
2025-05-01,G011,Biscuits Parle-G,2,14.91,C0046,,
2025-05-01,G006,Milk Packet 500ml,2,24.81,C0047,,
2025-05-01,G005,Oil Sunflower 1L,1,153.73,C0048,,
2025-05-01,G005,Oil Sunflower 1L,1,159.17,C0049,,
2025-05-01,G001,Rice Basmati 1kg,1,97.08,C0050,,
2025-05-01,G018,Honey 500g,1,362.73,C0051,,
2025-05-01,G010,Salt 1kg,1,21.51,C0052,,
2025-05-01,G008,Eggs 12 pieces,1,84.08,C0053,,
2025-05-01,G008,Eggs 12 pieces,1,83.15,C0054,,
2025-05-01,G019,Coffee Instant 100g,1,187.2,C0055,,
2025-05-01,G008,Eggs 12 pieces,1,88.91,C0056,,
2025-05-01,G001,Rice Basmati 1kg,1,102.63,C0057,,
2025-05-01,G001,Rice Basmati 1kg,3,101.16,C0058,,
2025-05-01,G002,Wheat Flour 1kg,1,40.63,C0059,,
2025-05-01,G006,Milk Packet 500ml,1,27.18,C0060,,
2025-05-01,G007,Bread White 400g,1,34.26,C0061,,
2025-05-01,G016,Ghee 500ml,1,485.52,C0062,,
2025-05-01,G015,Onions 1kg,1,34.59,C0063,,
2025-05-01,G016,Ghee 500ml,1,513.08,C0064,,
2025-05-01,G006,Milk Packet 500ml,2,24.8,C0065,,
2025-05-01,G005,Oil Sunflower 1L,1,166.65,C0066,,
2025-05-01,G003,Sugar 1kg,2,50.09,C0067,,
2025-05-01,G015,Onions 1kg,1,35.22,C0068,,
2025-05-01,G003,Sugar 1kg,1,48.34,C0069,,
2025-05-01,G020,Pickle Mixed 400g,1,124.86,C0070,,
2025-05-01,G010,Salt 1kg,1,21.4,C0071,,
2025-05-01,G003,Sugar 1kg,3,47.39,C0072,,
2025-05-01,G002,Wheat Flour 1kg,1,38.61,C0073,,
2025-05-01,G015,Onions 1kg,1,33.31,C0074,,
2025-05-01,G012,Soap Lifebouy,1,44.24,C0075,,
2025-05-01,G012,Soap Lifebouy,1,44.48,C0076,,
2025-05-01,G010,Salt 1kg,1,23.49,C0077,,
2025-05-01,G001,Rice Basmati 1kg,3,100.12,C0078,,
2025-05-01,G016,Ghee 500ml,1,506.38,C0079,,
2025-05-01,G003,Sugar 1kg,3,49.53,C0080,,
2025-05-01,G015,Onions 1kg,1,32.37,C0081,,
2025-05-01,G011,Biscuits Parle-G,1,15.34,C0082,,
2025-05-01,G016,Ghee 500ml,1,492.72,C0083,,
2025-05-01,G003,Sugar 1kg,1,47.4,C0084,,
2025-05-01,G006,Milk Packet 500ml,1,26.79,C0085,,
2025-05-01,G006,Milk Packet 500ml,1,24.73,C0086,,
2025-05-01,G012,Soap Lifebouy,1,45.5,C0087,,
2025-05-01,G011,Biscuits Parle-G,1,15.37,C0088,,
2025-05-01,G015,Onions 1kg,1,35.35,C0089,,
2025-05-01,G004,Dal Toor 500g,1,146.76,C0090,,
2025-05-01,G001,Rice Basmati 1kg,3,93.1,C0091,,
2025-05-01,G012,Soap Lifebouy,1,44.99,C0092,,
2025-05-01,G013,Detergent 1kg,1,210.96,C0093,,
2025-05-01,G009,Tea Powder 250g,1,217.02,C0094,,
2025-05-01,G014,Turmeric Powder 100g,1,56.0,C0095,,
2025-05-01,G004,Dal Toor 500g,1,139.47,C0096,,
2025-05-01,G005,Oil Sunflower 1L,1,162.15,C0097,,
2025-05-01,G007,Bread White 400g,2,35.17,C0098,,
2025-05-01,G003,Sugar 1kg,2,50.39,C0099,,
2025-05-01,G002,Wheat Flour 1kg,3,37.69,C0100,,
2025-05-01,G001,Rice Basmati 1kg,2,102.48,C0101,,
2025-05-01,G011,Biscuits Parle-G,1,16.05,C0102,,
2025-05-01,G006,Milk Packet 500ml,1,26.12,C0103,,
2025-05-01,G004,Dal Toor 500g,1,134.54,C0104,,
2025-05-01,G008,Eggs 12 pieces,1,85.08,C0105,,
2025-05-01,G016,Ghee 500ml,1,503.7,C0106,,
2025-05-01,G007,Bread White 400g,1,34.16,C0107,,
2025-05-01,G013,Detergent 1kg,1,217.18,C0108,,
2025-05-01,G003,Sugar 1kg,3,50.38,C0109,,
2025-05-01,G003,Sugar 1kg,2,49.04,C0110,,
2025-05-01,G016,Ghee 500ml,1,492.13,C0111,,
2025-05-01,G003,Sugar 1kg,1,49.21,C0112,,
2025-05-01,G008,Eggs 12 pieces,1,88.78,C0113,,
2025-05-01,G015,Onions 1kg,1,34.29,C0114,,
2025-05-01,G011,Biscuits Parle-G,1,16.31,C0115,,
2025-05-01,G015,Onions 1kg,1,32.82,C0116,,
2025-05-01,G015,Onions 1kg,1,32.22,C0117,,
2025-05-01,G003,Sugar 1kg,2,47.39,C0118,,
2025-05-01,G015,Onions 1kg,1,34.49,C0119,,
2025-05-01,G005,Oil Sunflower 1L,1,162.09,C0120,,
2025-05-01,G015,Onions 1kg,1,34.69,C0121,,
2025-05-01,G008,Eggs 12 pieces,1,82.37,C0122,,
2025-05-01,G006,Milk Packet 500ml,1,26.7,C0123,,
2025-05-01,G003,Sugar 1kg,2,51.73,C0124,,
2025-05-01,G003,Sugar 1kg,2,51.44,C0125,,
2025-05-01,G007,Bread White 400g,2,34.42,C0126,,
2025-05-01,G015,Onions 1kg,1,34.6,C0127,,
2025-05-01,G015,Onions 1kg,1,34.65,C0128,,
2025-05-01,G003,Sugar 1kg,1,49.2,C0129,,
2025-05-01,G004,Dal Toor 500g,1,138.37,C0130,,
2025-05-01,G007,Bread White 400g,1,32.7,C0131,,
2025-05-01,G003,Sugar 1kg,1,49.08,C0132,,
